name,p_set,carrier,bus
49197 H2_hgv_load,0.0,H2_hgv_load,49197
49200 H2_for_industry,0.0,H2_for_industry,49200
49200 H2_hgv_load,0.0,H2_hgv_load,49200
49201 H2_for_industry,0.0,H2_for_industry,49201
49201 H2_hgv_load,0.0,H2_hgv_load,49201
49204 H2_for_industry,0.0,H2_for_industry,49204
49204 H2_hgv_load,0.0,H2_hgv_load,49204
49207 H2_for_industry,0.0,H2_for_industry,49207
49207 H2_hgv_load,0.0,H2_hgv_load,49207
49214 H2_for_industry,0.0,H2_for_industry,49214
49214 H2_hgv_load,0.0,H2_hgv_load,49214
49215 H2_for_industry,0.0,H2_for_industry,49215
49215 H2_hgv_load,0.0,H2_hgv_load,49215
49217 H2_for_industry,0.0,H2_for_industry,49217
49217 H2_hgv_load,0.0,H2_hgv_load,49217
49218 H2_for_industry,0.0,H2_for_industry,49218
49218 H2_hgv_load,0.0,H2_hgv_load,49218
49220 H2_for_industry,0.0,H2_for_industry,49220
49220 H2_hgv_load,0.0,H2_hgv_load,49220
49224 H2_for_industry,0.0,H2_for_industry,49224
49224 H2_hgv_load,0.0,H2_hgv_load,49224
49225 H2_for_industry,0.0,H2_for_industry,49225
49225 H2_hgv_load,0.0,H2_hgv_load,49225
49236 H2_for_industry,0.0,H2_for_industry,49236
49236 H2_hgv_load,0.0,H2_hgv_load,49236
49237 H2_for_industry,0.0,H2_for_industry,49237
49237 H2_hgv_load,0.0,H2_hgv_load,49237
49238 H2_for_industry,0.0,H2_for_industry,49238
49238 H2_hgv_load,0.0,H2_hgv_load,49238
49241 H2_for_industry,0.0,H2_for_industry,49241
49241 H2_hgv_load,0.0,H2_hgv_load,49241
49242 H2_for_industry,0.0,H2_for_industry,49242
49242 H2_hgv_load,0.0,H2_hgv_load,49242
49249 H2_for_industry,0.0,H2_for_industry,49249
49249 H2_hgv_load,0.0,H2_hgv_load,49249
49253 H2_for_industry,0.0,H2_for_industry,49253
49253 H2_hgv_load,0.0,H2_hgv_load,49253
49257 H2_for_industry,0.0,H2_for_industry,49257
49257 H2_hgv_load,0.0,H2_hgv_load,49257
49258 H2_for_industry,0.0,H2_for_industry,49258
49258 H2_hgv_load,0.0,H2_hgv_load,49258
49261 H2_for_industry,0.0,H2_for_industry,49261
49261 H2_hgv_load,0.0,H2_hgv_load,49261
49262 H2_for_industry,0.0,H2_for_industry,49262
49262 H2_hgv_load,0.0,H2_hgv_load,49262
49264 H2_for_industry,0.0,H2_for_industry,49264
49264 H2_hgv_load,0.0,H2_hgv_load,49264
49265 H2_for_industry,0.0,H2_for_industry,49265
49265 H2_hgv_load,0.0,H2_hgv_load,49265
49266 H2_for_industry,0.0,H2_for_industry,49266
49266 H2_hgv_load,0.0,H2_hgv_load,49266
49267 H2_for_industry,0.0,H2_for_industry,49267
49267 H2_hgv_load,0.0,H2_hgv_load,49267
49268 H2_for_industry,0.0,H2_for_industry,49268
49268 H2_hgv_load,0.0,H2_hgv_load,49268
49269 H2_for_industry,0.0,H2_for_industry,49269
49269 H2_hgv_load,0.0,H2_hgv_load,49269
49270 H2_for_industry,0.0,H2_for_industry,49270
49270 H2_hgv_load,0.0,H2_hgv_load,49270
49271 H2_for_industry,0.0,H2_for_industry,49271
49271 H2_hgv_load,0.0,H2_hgv_load,49271
49272 H2_for_industry,0.0,H2_for_industry,49272
