name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
88,eGon2035_lowflex,48642,52087,CH4,164148.5125,inf,0.0,399.44347989445237,1.0,0.0,-1.0,1.0,0.0,164148.5125,CZ,inf,False,,,0.0,,,1.0,1.0
89,eGon2035_lowflex,48643,4,OCGT,1023.8095238095239,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,1023.8095238095239,DKDK,inf,True,,,9.6,0.0,1.0,0.2,0.2
90,eGon2035_lowflex,48643,4,OCGT,1238.095238095238,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,1238.095238095238,DKDK,inf,True,,,9.6,0.0,1.0,0.2,0.2
91,eGon2035_lowflex,48643,48649,CH4,16579.1666666667,inf,0.0,776.3146853020132,1.0,0.0,-1.0,1.0,0.0,16579.1666666667,DKPL,inf,False,,,0.0,,,1.0,1.0
92,eGon2035_lowflex,48643,48650,CH4,27125.0,inf,0.0,705.9106058086279,1.0,0.0,-1.0,1.0,0.0,27125.0,DKSE,inf,False,,,0.0,,,1.0,1.0
93,eGon2035_lowflex,48643,52087,CH4,5325.0,inf,0.0,578.5168946258974,1.0,0.0,-1.0,1.0,0.0,5325.0,DK,inf,False,,,0.0,,,1.0,1.0
94,eGon2035_lowflex,48644,5,OCGT,16826.190475357147,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,16826.190475357147,FRFR,inf,True,,,9.6,0.0,1.0,0.2,0.2
95,eGon2035_lowflex,48644,48648,CH4,24583.3333333333,inf,0.0,1614.2552457929926,1.0,0.0,-1.0,1.0,0.0,24583.3333333333,FRNO,inf,False,,,0.0,,,1.0,1.0
96,eGon2035_lowflex,48644,52087,CH4,51666.6666666667,inf,0.0,657.7873182720435,1.0,0.0,-1.0,1.0,0.0,51666.6666666667,FR,inf,False,,,0.0,,,1.0,1.0
97,eGon2035_lowflex,48645,6,OCGT,3602.3809526190475,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,3602.3809526190475,GBGB,inf,True,,,9.6,0.0,1.0,0.2,0.2
98,eGon2035_lowflex,48645,6,OCGT,88505.00009047618,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,88505.00009047618,GBGB,inf,True,,,9.6,0.0,1.0,0.2,0.2
99,eGon2035_lowflex,48645,48647,CH4,20583.3333333333,inf,0.0,810.1198420750754,1.0,0.0,-1.0,1.0,0.0,20583.3333333333,GBNL,inf,False,,,0.0,,,1.0,1.0
100,eGon2035_lowflex,48645,48648,CH4,62462.5,inf,0.0,1113.888061977508,1.0,0.0,-1.0,1.0,0.0,62462.5,GBNO,inf,False,,,0.0,,,1.0,1.0
101,eGon2035_lowflex,48646,52087,CH4,1600.0,inf,0.0,289.3039459177026,1.0,0.0,-1.0,1.0,0.0,1600.0,LU,inf,False,,,0.0,,,1.0,1.0
102,eGon2035_lowflex,48647,7,OCGT,22131.666662738095,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,22131.666662738095,NLNL,inf,True,,,9.6,0.0,1.0,0.2,0.2
103,eGon2035_lowflex,48647,48648,CH4,40152.4166666667,inf,0.0,974.5374824832013,1.0,0.0,-1.0,1.0,0.0,40152.4166666667,NLNO,inf,False,,,0.0,,,1.0,1.0
104,eGon2035_lowflex,48647,52087,CH4,50716.45862500005,inf,0.0,342.95845999724355,1.0,0.0,-1.0,1.0,0.0,50716.45862500005,NL,inf,False,,,0.0,,,1.0,1.0
105,eGon2035_lowflex,48648,52087,CH4,51958.333333333205,inf,0.0,1135.6240739081334,1.0,0.0,-1.0,1.0,0.0,51958.333333333205,NO,inf,False,,,0.0,,,1.0,1.0
106,eGon2035_lowflex,48649,9,OCGT,17859.523810238094,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,17859.523810238094,PLPL,inf,True,,,9.6,0.0,1.0,0.2,0.2
