name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
83,eGon2035_lowflex,48641,43777,OCGT,585.7142947619047,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,585.7142947619047,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
84,eGon2035_lowflex,48641,48644,CH4,20115.3704583333,False,inf,0.0,384.404341111123,,1.0,0.0,-1.0,0.0,20115.3704583333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
85,eGon2035_lowflex,48641,52087,CH4,22904.70758333334,False,inf,0.0,104.17335296430151,,1.0,0.0,-1.0,0.0,22904.70758333334,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
86,eGon2035_lowflex,48642,43778,OCGT,3213.5714304047615,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,3213.5714304047615,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
87,eGon2035_lowflex,48642,48649,CH4,16679.1666666667,False,inf,0.0,321.7396762680511,,1.0,0.0,-1.0,0.0,16679.1666666667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
88,eGon2035_lowflex,48642,52087,CH4,164148.5125,False,inf,0.0,175.97465866498237,,1.0,0.0,-1.0,0.0,164148.5125,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
89,eGon2035_lowflex,48643,43779,OCGT,1023.8095238095239,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,1023.8095238095239,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
90,eGon2035_lowflex,48643,43780,OCGT,1238.095238095238,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,1238.095238095238,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
91,eGon2035_lowflex,48643,48649,CH4,16579.1666666667,False,inf,0.0,776.3146853020132,,1.0,0.0,-1.0,0.0,16579.1666666667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
92,eGon2035_lowflex,48643,48650,CH4,27125.0,False,inf,0.0,705.9106058086279,,1.0,0.0,-1.0,0.0,27125.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
93,eGon2035_lowflex,48643,52087,CH4,5325.0,False,inf,0.0,181.69528358037758,,1.0,0.0,-1.0,0.0,5325.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
94,eGon2035_lowflex,48644,43781,OCGT,16826.190475357147,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,16826.190475357147,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
95,eGon2035_lowflex,48644,48648,CH4,24583.3333333333,False,inf,0.0,1614.2552457929926,,1.0,0.0,-1.0,0.0,24583.3333333333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
96,eGon2035_lowflex,48644,52087,CH4,51666.6666666667,False,inf,0.0,390.76494139099196,,1.0,0.0,-1.0,0.0,51666.6666666667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
97,eGon2035_lowflex,48645,43782,OCGT,3602.3809526190475,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,3602.3809526190475,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
98,eGon2035_lowflex,48645,43783,OCGT,88505.00009047618,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,88505.00009047618,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
99,eGon2035_lowflex,48645,48647,CH4,20583.3333333333,False,inf,0.0,810.1198420750754,,1.0,0.0,-1.0,0.0,20583.3333333333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
100,eGon2035_lowflex,48645,48648,CH4,62462.5,False,inf,0.0,1113.888061977508,,1.0,0.0,-1.0,0.0,62462.5,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
101,eGon2035_lowflex,48646,52087,CH4,1600.0,False,inf,0.0,28.219090250836476,,1.0,0.0,-1.0,0.0,1600.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
102,eGon2035_lowflex,48647,43785,OCGT,22131.666662738095,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,22131.666662738095,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
103,eGon2035_lowflex,48647,48648,CH4,40152.4166666667,False,inf,0.0,974.5374824832013,,1.0,0.0,-1.0,0.0,40152.4166666667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
104,eGon2035_lowflex,48647,52087,CH4,50716.45862500005,False,inf,0.0,123.1174291625545,,1.0,0.0,-1.0,0.0,50716.45862500005,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
105,eGon2035_lowflex,48648,52087,CH4,51958.333333333205,False,inf,0.0,832.856619217913,,1.0,0.0,-1.0,0.0,51958.333333333205,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
106,eGon2035_lowflex,48649,43787,OCGT,17859.523810238094,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,17859.523810238094,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
107,eGon2035_lowflex,48649,48652,CH4,11479.1666666667,False,inf,0.0,1510.5442323632253,,1.0,0.0,-1.0,0.0,11479.1666666667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
108,eGon2035_lowflex,48649,52087,CH4,2033.3333333333342,False,inf,0.0,344.49335888459433,,1.0,0.0,-1.0,0.0,2033.3333333333342,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
109,eGon2035_lowflex,48650,43788,OCGT,899.4976225476191,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,899.4976225476191,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
110,eGon2035_lowflex,48652,52087,CH4,193718.083333333,False,inf,0.0,1765.169822273438,,1.0,0.0,-1.0,0.0,193718.083333333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
111,eGon2035_lowflex,5,52058,rural_heat_pump,1848.4358526866345,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1848.4358526866345,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
112,eGon2035_lowflex,5,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,,0.7,0.0,0.0,0.0,76.87224544287129,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
113,eGon2035_lowflex,5,52115,central_heat_pump,226.34403409935868,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,226.34403409935868,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
114,eGon2035_lowflex,5,52115,central_resistive_heater,270.6401378138724,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,270.6401378138724,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
115,eGon2035_lowflex,52087,0,OCGT,1439.2857142857144,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,1439.2857142857144,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
116,eGon2035_lowflex,52087,0,central_gas_CHP,1392.296608813135,False,inf,0.0,0.0,,0.43,0.0,0.0,4.129292671614101,1392.296608813135,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
117,eGon2035_lowflex,52087,0,industrial_gas_CHP,787.5420366716256,False,inf,0.0,0.0,,0.43,0.0,0.0,4.15,787.5420366716256,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
118,eGon2035_lowflex,52087,1,OCGT,243.57142857142858,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,243.57142857142858,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
119,eGon2035_lowflex,52087,1,central_gas_CHP,7006.14530148464,False,inf,0.0,0.0,,0.43,0.0,0.0,4.116602450342797,7006.14530148464,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
120,eGon2035_lowflex,52087,1,industrial_gas_CHP,971.3232582341667,False,inf,0.0,0.0,,0.43,0.0,0.0,4.15,971.3232582341667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
121,eGon2035_lowflex,52087,10,central_gas_CHP,5827.46841682688,False,inf,0.0,0.0,,0.43,0.0,0.0,4.111140692640693,5827.46841682688,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
122,eGon2035_lowflex,52087,10,industrial_gas_CHP,1461.6425714167906,False,inf,0.0,0.0,,0.43000000000000005,0.0,0.0,4.15,1461.6425714167906,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
