name,efficiency_store,p_nom,efficiency_dispatch,p_nom_min,capital_cost,carrier,bus,control,p_nom_extendable,max_hours,lifetime,p_nom_opt
32879 battery,0.9797958971132712,0.0,0.9797958971132712,0.513921984944312,73.93112615104819,battery,32879,PV,True,6.0,27.5,0.513922099077395
32880 battery,0.9797958971132712,0.0,0.9797958971132712,1.3885784002099242,73.93112615104819,battery,32880,PV,True,6.0,27.5,1.388578506580039
32885 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,32885,PV,True,6.0,27.5,5.879601273155986e-07
32904 battery,0.9797958971132712,0.0,0.9797958971132712,1.1027772619295944,73.93112615104819,battery,32904,PV,True,6.0,27.5,292.8475848650532
32905 battery,0.9797958971132712,0.0,0.9797958971132712,1.2375258055810536,73.93112615104819,battery,32905,PV,True,6.0,27.5,1.237525893782958
32936 battery,0.9797958971132712,0.0,0.9797958971132712,3.438965222192283,73.93112615104819,battery,32936,PV,True,6.0,27.5,3.438965332492437
32941 battery,0.9797958971132712,0.0,0.9797958971132712,1.5905116328675761,73.93112615104819,battery,32941,PV,True,6.0,27.5,1.5905118150581234
32958 battery,0.9797958971132712,0.0,0.9797958971132712,0.9137070565671622,73.93112615104819,battery,32958,PV,True,6.0,27.5,0.9137071725906086
32959 battery,0.9797958971132712,0.0,0.9797958971132712,0.9823007129901093,73.93112615104819,battery,32959,PV,True,6.0,27.5,0.9823008290689074
32974 battery,0.9797958971132712,0.0,0.9797958971132712,2.9201765994516222,73.93112615104819,battery,32974,PV,True,6.0,27.5,2.9201767058512274
32975 battery,0.9797958971132712,0.0,0.9797958971132712,1.8925701938220085,73.93112615104819,battery,32975,PV,True,6.0,27.5,1.8925702917482172
32976 battery,0.9797958971132712,0.0,0.9797958971132712,0.35656407641126164,73.93112615104819,battery,32976,PV,True,6.0,27.5,0.3565643535631686
32987 battery,0.9797958971132712,0.0,0.9797958971132712,0.16942067670606126,73.93112615104819,battery,32987,PV,True,6.0,27.5,0.1694208105658534
33002 battery,0.9797958971132712,0.0,0.9797958971132712,6.203858494726531,73.93112615104819,battery,33002,PV,True,6.0,27.5,6.203858604175386
33004 battery,0.9797958971132712,0.0,0.9797958971132712,5.622935966931103,73.93112615104819,battery,33004,PV,True,6.0,27.5,5.622936077582386
33023 battery,0.9797958971132712,0.0,0.9797958971132712,0.1243104201790287,73.93112615104819,battery,33023,PV,True,6.0,27.5,0.12431056739786733
33024 battery,0.9797958971132712,0.0,0.9797958971132712,2.707786527479755,73.93112615104819,battery,33024,PV,True,6.0,27.5,2.707786629247404
33162 battery,0.9797958971132712,0.0,0.9797958971132712,3.094786708522681,73.93112615104819,battery,33162,PV,True,6.0,27.5,3.094786815933054
33210 battery,0.9797958971132712,0.0,0.9797958971132712,11.842741748854268,73.93112615104819,battery,33210,PV,True,6.0,27.5,11.842741845217807
33241 battery,0.9797958971132712,0.0,0.9797958971132712,4.0002041211289825,73.93112615104819,battery,33241,PV,True,6.0,27.5,4.000204233281372
33257 battery,0.9797958971132712,0.0,0.9797958971132712,7.833153692479983,73.93112615104819,battery,33257,PV,True,6.0,27.5,7.833153795798009
33258 battery,0.9797958971132712,0.0,0.9797958971132712,1.057702379248794,73.93112615104819,battery,33258,PV,True,6.0,27.5,1.057702501813967
33260 battery,0.9797958971132712,0.0,0.9797958971132712,4.683079298228519,73.93112615104819,battery,33260,PV,True,6.0,27.5,4.683079389202637
33283 battery,0.9797958971132712,0.0,0.9797958971132712,1.945618120601994,73.93112615104819,battery,33283,PV,True,6.0,27.5,1.9456182149849568
33290 battery,0.9797958971132712,0.0,0.9797958971132712,1.0279231816163101,73.93112615104819,battery,33290,PV,True,6.0,27.5,1.0279232977885373
33458 battery,0.9797958971132712,0.0,0.9797958971132712,1.1719755669494945,73.93112615104819,battery,33458,PV,True,6.0,27.5,1.171975681625252
33543 battery,0.9797958971132712,0.0,0.9797958971132712,7.400071755374191,73.93112615104819,battery,33543,PV,True,6.0,27.5,7.400071858056081
33620 battery,0.9797958971132712,0.0,0.9797958971132712,4.348072839806062,73.93112615104819,battery,33620,PV,True,6.0,27.5,4.348072952460868
