line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
8663,False,52.0,6.9784947759,13.42,52.0,13.42,0.0
8671,True,52.0,0.0,0.0,52.0,0.0,0.0
8672,False,52.0,3.93418568325,7.57,52.0,7.57,0.0
8722,False,179.0,113.617017694,63.47,179.0,63.47,0.0
8723,False,179.0,114.999958616,64.25,179.0,64.25,0.0
8724,False,179.0,113.617017694,63.47,179.0,63.47,0.0
8725,False,179.0,113.617017694,63.47,179.0,63.47,0.0
8726,False,179.0,113.617017694,63.47,179.0,63.47,0.0
8727,False,179.0,113.617017694,63.47,179.0,63.47,0.0
8776,True,52.0,0.0,0.0,52.0,0.0,0.0
8990,True,26.0,30.0730586764,115.67,26.0,100.0,0.0
8984,True,26.0,30.1411416941,115.93,26.0,97.14,0.0
8985,True,26.0,30.1411416941,115.93,26.0,97.14,0.0
8989,True,26.0,15.3907685116,59.2,26.0,59.2,0.0
8997,True,26.0,31.2,120.0,27.8214893794,100.0,1.8214893794
8996,True,26.0,31.2,120.0,26.0707618248,100.0,0.0707618248
8998,True,26.0,30.1411416941,115.93,26.0,97.14,0.0
8999,False,26.0,26.0,100.0,26.0,100.0,0.0
9000,False,26.0,26.0,100.0,26.0,100.0,0.0
9327,True,52.0,56.9585924974,109.54,52.0,100.0,0.0
9328,True,52.0,23.7428002617,45.66,52.0,45.66,0.0
9329,True,52.0,56.9585924974,109.54,52.0,100.0,0.0
9330,True,52.0,35.7648147364,68.78,52.0,61.61,0.0
9331,True,52.0,56.9585924974,109.54,52.0,100.0,0.0
9691,True,52.0,62.4,120.0,52.0,100.0,0.0
9692,True,52.0,62.4,120.0,52.0,100.0,0.0
9693,True,52.0,62.4,120.0,52.0,100.0,0.0
9694,True,52.0,62.4,120.0,52.0,100.0,0.0
10996,True,179.0,0.0,0.0,179.0,0.0,0.0
9695,False,52.0,18.4422451645,35.47,52.0,35.47,0.0
9730,False,26.0,8.17920837941,31.46,26.0,31.36,0.0
9731,True,26.0,31.2,120.0,26.0,68.19,0.0
9732,True,26.0,12.0227114145,46.24,26.0,44.02,0.0
9898,True,26.0,51.6537210759,198.67,51.6537210759,100.0,25.6537210759
9899,True,26.0,35.002206333,134.62,35.002206333,100.0,9.002206333
9900,True,26.0,35.2212825466,135.47,35.2212825466,100.0,9.2212825466
9901,True,26.0,42.2914937684,162.66,42.2914937684,100.0,16.2914937684
9902,True,26.0,42.2914937684,162.66,42.2914937684,100.0,16.2914937684
9903,True,26.0,42.2914937684,162.66,42.2914937684,100.0,16.2914937684
9934,True,26.0,32.9867940259,126.87,32.9867940259,100.0,6.9867940259
9935,True,26.0,0.0,0.0,26.0,0.0,0.0
