name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
83,eGon2035_lowflex,48641,2,OCGT,585.7142947619047,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,585.7142947619047,CHCH,inf,True,,,,0.0,1.0,0.2,0.2
84,eGon2035_lowflex,48641,48644,CH4,20115.3704583333,False,inf,0.0,384.404341111123,1.0,0.0,-1.0,1.0,0.0,20115.3704583333,CHFR,inf,False,,,,,,1.0,1.0
85,eGon2035_lowflex,48641,52087,CH4,22904.70758333334,False,inf,0.0,456.1337296983215,1.0,0.0,-1.0,1.0,0.0,22904.70758333334,CH,inf,False,,,,,,1.0,1.0
86,eGon2035_lowflex,48642,3,OCGT,3213.5714304047615,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,3213.5714304047615,CZCZ,inf,True,,,,0.0,1.0,0.2,0.2
87,eGon2035_lowflex,48642,48649,CH4,16679.1666666667,False,inf,0.0,321.7396762680511,1.0,0.0,-1.0,1.0,0.0,16679.1666666667,CZPL,inf,False,,,,,,1.0,1.0
88,eGon2035_lowflex,48642,52087,CH4,164148.5125,False,inf,0.0,399.44347989445237,1.0,0.0,-1.0,1.0,0.0,164148.5125,CZ,inf,False,,,,,,1.0,1.0
89,eGon2035_lowflex,48643,4,OCGT,1023.8095238095239,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,1023.8095238095239,DKDK,inf,True,,,,0.0,1.0,0.2,0.2
90,eGon2035_lowflex,48643,4,OCGT,1238.095238095238,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,1238.095238095238,DKDK,inf,True,,,,0.0,1.0,0.2,0.2
91,eGon2035_lowflex,48643,48649,CH4,16579.1666666667,False,inf,0.0,776.3146853020132,1.0,0.0,-1.0,1.0,0.0,16579.1666666667,DKPL,inf,False,,,,,,1.0,1.0
92,eGon2035_lowflex,48643,48650,CH4,27125.0,False,inf,0.0,705.9106058086279,1.0,0.0,-1.0,1.0,0.0,27125.0,DKSE,inf,False,,,,,,1.0,1.0
93,eGon2035_lowflex,48643,52087,CH4,5325.0,False,inf,0.0,578.5168946258974,1.0,0.0,-1.0,1.0,0.0,5325.0,DK,inf,False,,,,,,1.0,1.0
94,eGon2035_lowflex,48644,5,OCGT,16826.190475357147,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,16826.190475357147,FRFR,inf,True,,,,0.0,1.0,0.2,0.2
