name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
328,eGon2035,70828,70846,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.740678643631516e-06,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
329,eGon2035,70829,70847,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9091658822899586e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
330,eGon2035,70830,70848,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.907881466711455e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
331,eGon2035,70831,70849,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,9.198320804287109e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
332,eGon2035,70832,70850,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,3.5038555310333563e-06,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
333,eGon2035,70833,70813,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.8399999999999999,0.0,0.0,0.0,2.2312867782690594e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
334,eGon2035,70834,70814,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.2315294129765004e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
335,eGon2035,70835,70815,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.1208923968903115e-06,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
336,eGon2035,70836,70816,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.231234770880626e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
337,eGon2035,70837,70817,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.2314449106123896e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
338,eGon2035,70838,70818,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.231528605816782e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
339,eGon2035,70839,70819,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.2315189609723666e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
340,eGon2035,70840,70820,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.2315192104646507e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
341,eGon2035,70841,70821,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.2314752037661545e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
342,eGon2035,70842,70822,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.4586401146668886e-06,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
343,eGon2035,70843,70824,central_heat_store_discharger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.2314078428581958e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
